lune_lat,lune_lon,class,etype_pred,prob_eq,prob_ex,prob_co
-17.165,-3.001,0,eq,1.0,0.0,0.0
-0.744,12.245,0,eq,1.0,0.0,0.0
-11.586,-22.318,0,eq,1.0,0.0,0.0
28.695,21.221,0,eq,1.0,0.0,0.0
31.865,-16.492,0,eq,0.8265010328769241,0.17349896712307583,0.0
-18.933,24.811,0,eq,1.0,0.0,0.0
3.889,-0.869,0,eq,1.0,0.0,0.0
43.76,12.745,0,eq,0.8767630340258055,0.1232369659741945,0.0
-28.867,-26.034,0,eq,1.0,0.0,0.0
66.459,15.246,0,eq,0.6386348683327867,0.36136513166721335,0.0
14.259,-3.951,0,eq,1.0,0.0,0.0
85.825,26.818,0,eq,0.6451437336278585,0.35485626637214157,0.0
42.077,14.863,0,eq,0.9272575656169098,0.07274243438309022,0.0
3.243,28.924,0,eq,1.0,0.0,0.0
8.534,-6.49,0,eq,1.0,0.0,0.0
-3.769,-1.526,0,eq,1.0,0.0,0.0
-78.166,-9.794,0,eq,0.7633491713099315,0.0,0.23665082869006845
-51.716,-22.703,0,eq,1.0,0.0,0.0
21.452,-15.105,0,eq,1.0,0.0,0.0
40.772,15.541,0,eq,0.8963815869617464,0.10361841303825367,0.0
-14.405,0.206,0,eq,1.0,0.0,0.0
21.835,11.423,0,eq,1.0,0.0,0.0
14.75,-25.952,0,eq,1.0,0.0,0.0
17.524,1.452,0,eq,1.0,0.0,0.0
58.83,-13.243,1,ex,0.10837600546418075,0.8916239945358192,0.0
-58.229,-8.371,0,eq,0.939269302275643,0.0,0.060730697724357026
63.181,-29.17,1,ex,0.0,1.0,0.0
-5.745,-17.509,0,eq,1.0,0.0,0.0
-19.998,23.616,0,eq,1.0,0.0,0.0
-44.559,-6.326,0,eq,1.0,0.0,0.0
48.782,-10.445,0,eq,0.6161077092589085,0.3838922907410915,0.0
30.275,24.371,0,eq,1.0,0.0,0.0
33.926,-20.993,0,eq,0.8888607694902485,0.11113923050975148,0.0
17.434,26.495,0,eq,1.0,0.0,0.0
-23.038,11.657,0,eq,1.0,0.0,0.0
-52.764,9.174,0,eq,0.6677201045249627,0.0,0.3322798954750374
19.926,-0.319,0,eq,1.0,0.0,0.0
30.447,12.249,0,eq,1.0,0.0,0.0
41.5,8.89,0,eq,0.9416060039670331,0.05839399603296699,0.0
-71.087,-13.901,0,eq,0.8702912928314822,0.0,0.12970870716851776
-71.172,-27.48,0,eq,1.0,0.0,0.0
13.171,7.752,0,eq,1.0,0.0,0.0
-24.449,-7.76,0,eq,1.0,0.0,0.0
58.701,16.232,0,eq,0.7381840004697363,0.26181599953026374,0.0
19.411,13.629,0,eq,1.0,0.0,0.0
29.733,-8.848,0,eq,1.0,0.0,0.0
-8.223,-21.842,0,eq,1.0,0.0,0.0
18.588,0.923,0,eq,1.0,0.0,0.0
15.687,22.968,0,eq,1.0,0.0,0.0
2.368,-18.039,0,eq,1.0,0.0,0.0
-48.43,-14.583,0,eq,1.0,0.0,0.0
43.372,11.609,0,eq,0.9148820629643487,0.08511793703565129,0.0
74.427,-9.989,1,ex,0.0,1.0,0.0
-62.049,-17.69,0,eq,1.0,0.0,0.0
-80.555,-19.282,0,eq,0.9353057097701359,0.0,0.0646942902298641
-38.468,-2.325,0,eq,1.0,0.0,0.0
-37.951,-17.418,0,eq,1.0,0.0,0.0
24.592,7.88,0,eq,1.0,0.0,0.0
-55.885,17.225,2,co,0.3466154480972319,0.0,0.6533845519027682
67.81,-4.796,1,ex,0.0,1.0,0.0
6.038,24.763,0,eq,1.0,0.0,0.0
-10.238,9.098,0,eq,1.0,0.0,0.0
49.325,5.705,1,ex,0.4579085224898552,0.5420914775101449,0.0
-60.933,16.907,2,co,0.2828244659331398,0.0,0.7171755340668602
-45.197,14.8,0,eq,0.5194460271868206,0.0,0.4805539728131794
1.503,-17.577,0,eq,1.0,0.0,0.0
-76.976,16.196,2,co,0.3076137811665845,0.0,0.6923862188334154
78.676,-20.574,1,ex,0.0,1.0,0.0
89.31,-18.427,1,ex,0.0,1.0,0.0
76.732,-22.527,1,ex,0.0,1.0,0.0
59.044,-14.694,1,ex,0.19506136911041877,0.8049386308895813,0.0
49.246,-12.302,1,ex,0.41406531002978697,0.5859346899702131,0.0
21.195,13.157,0,eq,1.0,0.0,0.0
-3.919,21.709,0,eq,1.0,0.0,0.0
14.798,-25.85,0,eq,1.0,0.0,0.0
-23.259,-25.16,0,eq,1.0,0.0,0.0
7.203,22.213,0,eq,1.0,0.0,0.0
-56.498,-6.538,0,eq,0.9375841161857884,0.0,0.062415883814211585
16.183,13.437,0,eq,1.0,0.0,0.0
2.564,11.222,0,eq,1.0,0.0,0.0
-21.714,-12.833,0,eq,1.0,0.0,0.0
7.965,10.96,0,eq,1.0,0.0,0.0
7.132,-5.078,0,eq,1.0,0.0,0.0
-22.44,-15.529,0,eq,1.0,0.0,0.0
-14.919,10.397,0,eq,1.0,0.0,0.0
-30.377,-6.889,0,eq,1.0,0.0,0.0
53.53,8.113,1,ex,0.3674035827967532,0.6325964172032468,0.0
-80.064,-29.943,0,eq,1.0,0.0,0.0
40.487,12.266,0,eq,0.9492854493231743,0.050714550676825704,0.0
31.18,29.171,0,eq,1.0,0.0,0.0
8.141,1.646,0,eq,1.0,0.0,0.0
-56.562,0.68,0,eq,0.736711477799547,0.0,0.26328852220045307
-66.108,-4.405,0,eq,0.7445319159887839,0.0,0.2554680840112161
-16.495,-0.074,0,eq,1.0,0.0,0.0
39.051,-18.217,1,ex,0.40644042218250276,0.5935595778174972,0.0
-4.299,-18.734,0,eq,1.0,0.0,0.0
-24.62,17.826,0,eq,1.0,0.0,0.0
62.364,-2.402,1,ex,0.0656889059197705,0.9343110940802295,0.0
22.326,3.278,0,eq,1.0,0.0,0.0
22.062,23.959,0,eq,1.0,0.0,0.0
45.761,7.463,0,eq,0.6904951699957692,0.3095048300042308,0.0
36.526,-11.872,0,eq,0.8887507402406597,0.11124925975934029,0.0
-52.33,-4.809,0,eq,0.9412933343166402,0.0,0.05870666568335971
77.464,27.033,0,eq,0.6694406532305621,0.3305593467694379,0.0
-26.765,-6.502,0,eq,1.0,0.0,0.0
-81.006,28.684,2,co,0.11165671260910634,0.0,0.8883432873908936
-87.198,-1.062,0,eq,0.5507693206829533,0.0,0.44923067931704674
-62.507,22.769,2,co,0.10366850929140921,0.0,0.8963314907085909
-6.483,-24.426,0,eq,1.0,0.0,0.0
64.276,-14.219,1,ex,0.1018999791958162,0.8981000208041838,0.0
53.902,-19.964,1,ex,0.13527353920017585,0.8647264607998242,0.0
19.858,-16.527,0,eq,1.0,0.0,0.0
30.667,-16.738,0,eq,0.8509092715641058,0.1490907284358942,0.0
-61.156,-17.183,0,eq,1.0,0.0,0.0
-20.507,29.57,0,eq,0.9398459194807809,0.0,0.0601540805192191
16.627,-19.672,0,eq,1.0,0.0,0.0
32.859,26.142,0,eq,1.0,0.0,0.0
-37.407,22.356,0,eq,0.6113091486349271,0.0,0.3886908513650728
15.307,3.242,0,eq,1.0,0.0,0.0
-29.115,-20.628,0,eq,1.0,0.0,0.0
-52.656,0.918,0,eq,0.8203767737260671,0.0,0.1796232262739328
-43.884,0.986,0,eq,0.9246186387887637,0.0,0.07538136121123627
-64.86,-18.877,0,eq,1.0,0.0,0.0
-58.583,29.131,2,co,0.07499289792745945,0.0,0.9250071020725406
2.53,26.698,0,eq,1.0,0.0,0.0
-36.1,-8.893,0,eq,1.0,0.0,0.0
-14.698,-22.181,0,eq,1.0,0.0,0.0
-39.709,-22.8,0,eq,1.0,0.0,0.0
-53.319,14.215,2,co,0.4030350570198632,0.0,0.5969649429801368
-56.579,-14.644,0,eq,1.0,0.0,0.0
25.416,9.5,0,eq,1.0,0.0,0.0
-79.417,26.823,2,co,0.11036784536231335,0.0,0.8896321546376867
-59.543,-7.799,0,eq,0.8724216204357226,0.0,0.1275783795642774
52.066,23.382,0,eq,0.8931648789352112,0.10683512106478878,0.0
-65.561,-1.865,0,eq,0.707515055980354,0.0,0.2924849440196459
38.453,23.934,0,eq,0.9687216319920398,0.0312783680079602,0.0
-41.138,-7.05,0,eq,1.0,0.0,0.0
-73.512,25.529,2,co,0.105663391013291,0.0,0.894336608986709
-42.554,-3.125,0,eq,1.0,0.0,0.0
-10.266,-19.891,0,eq,1.0,0.0,0.0
-30.755,23.833,0,eq,0.8596665956751988,0.0,0.14033340432480118
-24.906,-7.285,0,eq,1.0,0.0,0.0
42.341,-1.265,0,eq,0.8331229318857173,0.16687706811428268,0.0
45.018,11.916,0,eq,0.8426974447085033,0.1573025552914967,0.0
-14.36,16.812,0,eq,1.0,0.0,0.0
76.493,24.473,0,eq,0.6546544817071137,0.3453455182928864,0.0
16.191,29.621,0,eq,1.0,0.0,0.0
41.93,12.654,0,eq,0.9362217979698508,0.06377820203014914,0.0
-23.347,-29.058,0,eq,1.0,0.0,0.0
-20.002,22.496,0,eq,1.0,0.0,0.0
43.809,15.881,0,eq,0.8167650591331814,0.1832349408668186,0.0
33.289,20.833,0,eq,0.9479935195681845,0.052006480431815605,0.0
-28.42,23.497,0,eq,0.9555139757403911,0.0,0.04448602425960885
26.538,16.45,0,eq,1.0,0.0,0.0
-3.566,1.456,0,eq,1.0,0.0,0.0
5.379,7.634,0,eq,1.0,0.0,0.0
-48.796,1.757,0,eq,0.8323142213748486,0.0,0.16768577862515144
67.849,-27.285,1,ex,0.0,1.0,0.0
-60.287,-26.995,0,eq,1.0,0.0,0.0
-54.83,-16.231,0,eq,1.0,0.0,0.0
5.245,29.124,0,eq,1.0,0.0,0.0
18.663,13.271,0,eq,1.0,0.0,0.0
-54.169,-22.738,0,eq,1.0,0.0,0.0
38.33,24.163,0,eq,0.9710025474914505,0.028997452508549536,0.0
38.779,7.911,0,eq,1.0,0.0,0.0
17.839,4.969,0,eq,1.0,0.0,0.0
12.574,20.158,0,eq,1.0,0.0,0.0
