lune_lat,lune_lon,class,etype_pred,prob_eq,prob_ex,prob_co
-17.165,-3.001,0,eq,0.99436355,1.1771051e-06,0.005635299
-0.744,12.245,0,eq,0.99950886,2.268223e-05,0.00046845232
-11.586,-22.318,0,eq,0.9993297,1.7713557e-05,0.0006525695
28.695,21.221,0,eq,0.98441005,0.01558797,2.0251919e-06
31.865,-16.492,0,eq,0.75324583,0.24675395,1.4424822e-07
-18.933,24.811,0,eq,0.9680396,1.206181e-07,0.031960335
3.889,-0.869,0,eq,0.9997297,0.00018193282,8.827919e-05
43.76,12.745,0,eq,0.5993349,0.40066507,5.84851e-08
-28.867,-26.034,0,eq,0.98361915,3.4661068e-07,0.016380556
66.459,15.246,1,ex,0.034134503,0.96586543,1.5384238e-10
14.259,-3.951,0,eq,0.99713683,0.002853984,9.167067e-06
85.825,26.818,1,ex,0.0046163313,0.9953837,3.8946567e-12
42.077,14.863,0,eq,0.70197093,0.298029,9.883437e-08
3.243,28.924,0,eq,0.99946636,1.876103e-05,0.0005149968
8.534,-6.49,0,eq,0.99912506,0.00084971316,2.5236022e-05
-3.769,-1.526,0,eq,0.9995615,2.8353632e-05,0.00041011375
-78.166,-9.794,2,co,0.02578193,6.9294716e-13,0.9742181
-51.716,-22.703,0,eq,0.5023503,1.2000951e-09,0.49764964
21.452,-15.105,0,eq,0.9688849,0.031113902,1.2584266e-06
40.772,15.541,0,eq,0.76141167,0.23858818,1.3728922e-07
-14.405,0.206,0,eq,0.99612623,1.836978e-06,0.0038719524
21.835,11.423,0,eq,0.9939044,0.006090975,4.6192795e-06
14.75,-25.952,0,eq,0.9861048,0.013892646,2.6268176e-06
17.524,1.452,0,eq,0.99568814,0.004305472,6.3887687e-06
58.83,-13.243,1,ex,0.031909507,0.96809053,1.4418602e-10
-58.229,-8.371,2,co,0.19069523,7.3834834e-11,0.80930483
63.181,-29.17,1,ex,0.009993363,0.99000657,1.7537973e-11
-5.745,-17.509,0,eq,0.9996897,5.384421e-05,0.0002564294
-19.998,23.616,0,eq,0.963472,1.0206094e-07,0.036527865
-44.559,-6.326,0,eq,0.60747784,2.3142246e-09,0.39252213
48.782,-10.445,1,ex,0.15182433,0.84817564,2.7501164e-09
30.275,24.371,0,eq,0.9818112,0.018187042,1.7567575e-06
33.926,-20.993,0,eq,0.6098174,0.3901826,6.806666e-08
17.434,26.495,0,eq,0.99922276,0.0007524575,2.4740752e-05
-23.038,11.657,0,eq,0.9644346,1.1091064e-07,0.035565212
-52.764,9.174,2,co,0.2070244,8.6376885e-11,0.7929756
19.926,-0.319,0,eq,0.9914794,0.0085169235,3.6345434e-06
30.447,12.249,0,eq,0.9596503,0.0403488,9.111738e-07
41.5,8.89,0,eq,0.65294474,0.34705514,7.778517e-08
-71.087,-13.901,2,co,0.057060815,4.2580475e-12,0.9429392
-71.172,-27.48,2,co,0.08255055,1.0348802e-11,0.9174494
13.171,7.752,0,eq,0.99899966,0.0009790817,2.1310414e-05
-24.449,-7.76,0,eq,0.98214704,2.884435e-07,0.017852714
58.701,16.232,1,ex,0.10851737,0.8914826,1.342015e-09
19.411,13.629,0,eq,0.99703765,0.0029540726,8.366815e-06
29.733,-8.848,0,eq,0.88229275,0.117706984,3.4638964e-07
-8.223,-21.842,0,eq,0.999624,3.9507264e-05,0.0003363701
18.588,0.923,0,eq,0.99425936,0.0057355175,5.039408e-06
15.687,22.968,0,eq,0.9993438,0.000627157,2.9123748e-05
2.368,-18.039,0,eq,0.9995338,0.00041910942,4.7224807e-05
-48.43,-14.583,0,eq,0.5446569,1.5586145e-09,0.4553431
43.372,11.609,0,eq,0.6023664,0.3976335,5.9587926e-08
74.427,-9.989,1,ex,0.005104606,0.9948954,4.9562823e-12
-62.049,-17.69,2,co,0.16556385,5.332933e-11,0.8344361
-80.555,-19.282,2,co,0.026131514,7.280787e-13,0.9738685
-38.468,-2.325,0,eq,0.77645516,7.793839e-09,0.22354487
-37.951,-17.418,0,eq,0.8825073,2.393058e-08,0.11749268
24.592,7.88,0,eq,0.98544586,0.014551886,2.2468944e-06
-55.885,17.225,2,co,0.11799767,2.1401747e-11,0.88200235
67.81,-4.796,1,ex,0.013324728,0.9866753,2.840272e-11
6.038,24.763,0,eq,0.99971825,5.047748e-05,0.00023117295
-10.238,9.098,0,eq,0.9972882,2.7307758e-06,0.00270911
49.325,5.705,1,ex,0.2658907,0.7341093,8.253259e-09
-60.933,16.907,2,co,0.069653414,6.257309e-12,0.9303466
-45.197,14.8,2,co,0.37622413,4.2595188e-10,0.6237759
1.503,-17.577,0,eq,0.9996145,0.00032765028,5.77782e-05
-76.976,16.196,2,co,0.015611769,2.1379624e-13,0.98438823
78.676,-20.574,1,ex,0.0024093336,0.99759066,1.2784441e-12
89.31,-18.427,1,ex,0.0010019086,0.9989981,2.5698353e-13
76.732,-22.527,1,ex,0.0027593144,0.99724066,1.642673e-12
59.044,-14.694,1,ex,0.029259946,0.97074,1.2319505e-10
49.246,-12.302,1,ex,0.1315983,0.86840177,2.0875177e-09
21.195,13.157,0,eq,0.99533147,0.0046627605,5.7365264e-06
-3.919,21.709,0,eq,0.99849904,5.3170224e-06,0.001495651
14.798,-25.85,0,eq,0.98604476,0.013952716,2.616243e-06
-23.259,-25.16,0,eq,0.99416083,1.2398705e-06,0.0058379187
7.203,22.213,0,eq,0.9997609,8.084166e-05,0.00015824617
-56.498,-6.538,2,co,0.21721685,1.0212774e-10,0.78278315
16.183,13.437,0,eq,0.9986099,0.001374377,1.5773261e-05
2.564,11.222,0,eq,0.9997198,5.5535373e-05,0.00022467988
-21.714,-12.833,0,eq,0.9918001,7.745109e-07,0.008199071
7.965,10.96,0,eq,0.99971,0.0002167827,7.312053e-05
7.132,-5.078,0,eq,0.999418,0.0005457521,3.6198107e-05
-22.44,-15.529,0,eq,0.9917898,7.8223763e-07,0.00820936
-14.919,10.397,0,eq,0.9926958,8.085002e-07,0.0073033352
-30.377,-6.889,0,eq,0.94594616,6.8891495e-08,0.054053675
53.53,8.113,1,ex,0.16394372,0.83605635,3.0561005e-09
-80.064,-29.943,2,co,0.0357862,1.5186229e-12,0.9642138
40.487,12.266,0,eq,0.73662686,0.26337302,1.2035002e-07
31.18,29.171,0,eq,0.9836114,0.016386716,1.8894874e-06
8.141,1.646,0,eq,0.999521,0.00043652533,4.2467243e-05
-56.562,0.68,2,co,0.17612866,5.90511e-11,0.8238714
-66.108,-4.405,2,co,0.07350261,7.465035e-12,0.92649734
-16.495,-0.074,0,eq,0.9942397,1.1317835e-06,0.005759156
39.051,-18.217,1,ex,0.4051885,0.59481144,2.2582359e-08
-4.299,-18.734,0,eq,0.9997377,8.418763e-05,0.00017816691
-24.62,17.826,0,eq,0.9376651,5.1544234e-08,0.06233491
62.364,-2.402,1,ex,0.0300002,0.96999985,1.257337e-10
22.326,3.278,0,eq,0.98829764,0.0116996085,2.746643e-06
22.062,23.959,0,eq,0.9972365,0.002754946,8.545639e-06
45.761,7.463,1,ex,0.4327781,0.5672219,2.4657982e-08
36.526,-11.872,0,eq,0.60975087,0.390249,6.623811e-08
-52.33,-4.809,2,co,0.31526065,2.7325492e-10,0.6847394
77.464,27.033,1,ex,0.012367995,0.987632,2.3383505e-11
-26.765,-6.502,0,eq,0.97091293,1.546591e-07,0.029086908
-81.006,28.684,2,co,0.0088183,5.866081e-14,0.99118173
-87.198,-1.062,2,co,0.010028221,8.195727e-14,0.98997176
-62.507,22.769,2,co,0.050452705,2.950236e-12,0.94954723
-6.483,-24.426,0,eq,0.99972254,7.318584e-05,0.00020425966
64.276,-14.219,1,ex,0.01484914,0.9851509,3.527524e-11
53.902,-19.964,1,ex,0.04879276,0.9512072,3.2231098e-10
19.858,-16.527,0,eq,0.9760434,0.023955,1.590671e-06
30.667,-16.738,0,eq,0.7936931,0.20630665,1.8414823e-07
-61.156,-17.183,2,co,0.17946701,6.503173e-11,0.820533
-20.507,29.57,0,eq,0.94726515,6.157792e-08,0.052734774
16.627,-19.672,0,eq,0.98582447,0.014173071,2.5266625e-06
32.859,26.142,0,eq,0.9711288,0.028870046,1.1712227e-06
-37.407,22.356,0,eq,0.58871764,1.8502219e-09,0.4112824
15.307,3.242,0,eq,0.9977448,0.0022443358,1.0904326e-05
-29.115,-20.628,0,eq,0.97756356,2.2804619e-07,0.022436135
-52.656,0.918,2,co,0.26261148,1.6369023e-10,0.73738855
-43.884,0.986,0,eq,0.55942535,1.6346259e-09,0.44057468
-64.86,-18.877,2,co,0.12672582,2.7927247e-11,0.8732742
-58.583,29.131,2,co,0.06336281,4.8864988e-12,0.9366372
2.53,26.698,0,eq,0.99945396,1.8397544e-05,0.00052771065
-36.1,-8.893,0,eq,0.87465626,2.1000966e-08,0.12534367
-14.698,-22.181,0,eq,0.9987532,8.124348e-06,0.0012387242
-39.709,-22.8,0,eq,0.8766163,2.2666677e-08,0.12338367
-53.319,14.215,2,co,0.16933855,5.1592917e-11,0.83066154
-56.579,-14.644,2,co,0.26882058,1.8240169e-10,0.7311794
25.416,9.5,0,eq,0.98419815,0.015799819,2.0832947e-06
-79.417,26.823,2,co,0.010285044,8.281555e-14,0.9897149
-59.543,-7.799,2,co,0.16317351,5.0073504e-11,0.8368265
52.066,23.382,1,ex,0.35434195,0.645658,1.4760972e-08
-65.561,-1.865,2,co,0.072497696,7.186114e-12,0.9275023
38.453,23.934,0,eq,0.8953106,0.10468908,3.5336484e-07
-41.138,-7.05,0,eq,0.7337352,5.6534404e-09,0.26626483
-73.512,25.529,2,co,0.016937692,2.5203765e-13,0.98306227
-42.554,-3.125,0,eq,0.6496959,3.0508471e-09,0.35030416
-10.266,-19.891,0,eq,0.9994105,2.0704443e-05,0.0005687671
-30.755,23.833,0,eq,0.79693097,8.431294e-09,0.20306903
-24.906,-7.285,0,eq,0.98009676,2.511181e-07,0.019903021
