lune_lat,lune_lon,class,etype_pred,prob_eq,prob_ex,prob_co
-17.165,-3.001,0,eq,0.9999999929210908,1.5415832022116236e-16,7.078909130782264e-09
-0.744,12.245,0,eq,0.9999999999919251,6.510422101932659e-12,1.5644815198263586e-12
-11.586,-22.318,0,eq,0.9999999999991016,8.304295615126757e-13,6.797897370417784e-14
28.695,21.221,0,eq,0.9998668610625793,0.00013313893742075044,3.706237269168677e-25
31.865,-16.492,0,eq,0.979253655598098,0.020746344401902057,1.4945107773773566e-32
-18.933,24.811,0,eq,0.9999829391893756,1.5527944635288691e-18,1.7060810624412223e-05
3.889,-0.869,0,eq,0.9999999992820748,7.17924530219841e-10,5.258827907359135e-16
43.76,12.745,0,eq,0.9441110887407348,0.055888911259265206,5.828125204812895e-35
-28.867,-26.034,0,eq,0.9999999988119367,1.191339684694889e-18,1.1880632936448426e-09
66.459,15.246,1,ex,0.34288621045518597,0.6571137895448141,1.1596175517448695e-50
14.259,-3.951,0,eq,0.9999994069871299,5.930128702040374e-07,4.532564639303789e-21
85.825,26.818,1,ex,0.13049505280954019,0.8695049471904598,6.373549813086634e-65
42.077,14.863,0,eq,0.9686436038116725,0.03135639618832752,1.2377132651805258e-33
3.243,28.924,0,eq,0.9999999999483348,5.039092373402249e-11,1.274413043813882e-12
8.534,-6.49,0,eq,0.9999999689944253,3.100557464150286e-08,7.339708654502243e-19
-3.769,-1.526,0,eq,0.9999999999954788,4.104590498082201e-12,4.165496334324656e-13
-78.166,-9.794,0,eq,0.9698441111117654,6.237272882762885e-45,0.030155888888234592
-51.716,-22.703,0,eq,0.999953419072552,3.8733375095482535e-29,4.6580927448052084e-05
21.452,-15.105,0,eq,0.9998465829966529,0.00015341700334719726,1.3056532609329866e-26
40.772,15.541,0,eq,0.9800077030647132,0.01999229693528681,9.604550877791735e-33
-14.405,0.206,0,eq,0.9999999971500653,8.76821356987672e-16,2.849933723784205e-09
21.835,11.423,0,eq,0.9999930704493054,6.929550694617235e-06,1.2471033593733536e-22
14.75,-25.952,0,eq,0.9999463473748246,5.365262517545518e-05,1.85517376770351e-25
17.524,1.452,0,eq,0.9999982193122349,1.7806877650625205e-06,8.192333021698656e-22
58.83,-13.243,1,ex,0.11750638470722596,0.882493615292774,7.587457188313436e-50
-58.229,-8.371,0,eq,0.9739376579749484,3.853337719069881e-34,0.02606234202505172
63.181,-29.17,1,ex,0.003452152926638301,0.9965478470733617,6.003463766065106e-57
-5.745,-17.509,0,eq,0.9999999999799234,2.007150791414796e-11,5.075096465400702e-15
-19.998,23.616,0,eq,0.9999734031553309,6.251186495202986e-19,2.6596844669023826e-05
-44.559,-6.326,0,eq,0.9979162733340563,1.2698521679794018e-27,0.002083726665943749
48.782,-10.445,1,ex,0.43306295489397323,0.5669370451060268,4.047838823040984e-42
30.275,24.371,0,eq,0.9997281347968411,0.0002718652031589087,1.0161949266308836e-25
33.926,-20.993,0,eq,0.8842391688910496,0.11576083110895044,1.2282356427921562e-34
17.434,26.495,0,eq,0.9999996190440186,3.809559814857226e-07,5.658458407267478e-19
-23.038,11.657,0,eq,0.99998523081591,1.016165184184935e-19,1.476918408999935e-05
-52.764,9.174,0,eq,0.5831931042147585,4.821667984215215e-33,0.4168068957852415
19.926,-0.319,0,eq,0.9999922813383375,7.718661662434732e-06,2.8624906062889556e-23
30.447,12.249,0,eq,0.9996062925136898,0.0003937074863101047,4.1417191687000035e-27
41.5,8.89,0,eq,0.9674387458630479,0.03256125413695203,4.697847880554323e-34
-71.087,-13.901,0,eq,0.9887728660383527,2.0513647679892554e-40,0.011227133961647252
-71.172,-27.48,0,eq,0.9999263470903573,1.3700802548176937e-38,7.365290964266397e-05
13.171,7.752,0,eq,0.9999999190002888,8.099971124883394e-08,6.879694877433763e-19
-24.449,-7.76,0,eq,0.9999998551941898,7.006108988182059e-19,1.448058102648424e-07
58.701,16.232,1,ex,0.4806382332912335,0.5193617667087664,8.79727364733937e-45
19.411,13.629,0,eq,0.9999983077710887,1.6922289112420204e-06,3.6790409761208974e-21
29.733,-8.848,0,eq,0.9976765751843915,0.0023234248156086116,6.480563001302775e-30
-8.223,-21.842,0,eq,0.9999999999908588,9.135499193803012e-12,5.803118950351021e-15
18.588,0.923,0,eq,0.9999966695698025,3.330430197448426e-06,2.0506656014853844e-22
15.687,22.968,0,eq,0.9999998558595065,1.441404935226647e-07,1.9070222648386145e-18
2.368,-18.039,0,eq,0.999999994339792,5.660207901503468e-09,2.7448257523798797e-18
-48.43,-14.583,0,eq,0.999568642588641,1.4523964095558117e-28,0.0004313574113589712
43.372,11.609,0,eq,0.9482761483471954,0.05172385165280461,7.300342537345171e-35
74.427,-9.989,1,ex,0.025014825664062722,0.9749851743359372,2.7209802775157722e-61
