lune_lat,lune_lon,class,etype_pred,prob_eq,prob_ex,prob_co
-17.165,-3.001,0,eq,0.9218732664395607,0.055541331933759534,0.022585401626679744
-0.744,12.245,0,eq,0.8839000520468676,0.053253508886973465,0.06284643906615901
-11.586,-22.318,0,eq,0.5900895919101924,0.3845874080289498,0.025323000060857657
28.695,21.221,0,eq,0.6955344488027484,0.0438453924440067,0.26062015875324485
31.865,-16.492,0,eq,0.6261154713217421,0.34895596320135513,0.02492856547690265
-18.933,24.811,0,eq,0.6955344488027484,0.0438453924440067,0.26062015875324485
3.889,-0.869,0,eq,0.9218732664395607,0.055541331933759534,0.022585401626679744
43.76,12.745,1,ex,0.41326046091577373,0.5392996308182882,0.047439908265938024
-28.867,-26.034,0,eq,0.5900895919101924,0.3845874080289498,0.025323000060857657
66.459,15.246,1,ex,0.16986390407099713,0.5998734953517257,0.23026260057727713
14.259,-3.951,0,eq,0.9218732664395607,0.055541331933759534,0.022585401626679744
85.825,26.818,1,ex,0.17145845406213422,0.5940138232102444,0.23452772272762118
42.077,14.863,1,ex,0.3737393369275756,0.4383470072672122,0.18791365580521213
3.243,28.924,0,eq,0.6955344488027484,0.0438453924440067,0.26062015875324485
8.534,-6.49,0,eq,0.9218732664395607,0.055541331933759534,0.022585401626679744
-3.769,-1.526,0,eq,0.9218732664395607,0.055541331933759534,0.022585401626679744
-78.166,-9.794,2,co,0.45547308574829337,0.05588486949980322,0.4886420447519033
-51.716,-22.703,2,co,0.2855809498351483,0.25403930056480517,0.4603797496000465
21.452,-15.105,0,eq,0.7291752820946935,0.24861811762294786,0.022206600282358543
40.772,15.541,0,eq,0.411329384017225,0.38469524247401476,0.20397537350876022
-14.405,0.206,0,eq,0.9218732664395607,0.055541331933759534,0.022585401626679744
21.835,11.423,0,eq,0.8839000520468676,0.053253508886973465,0.06284643906615901
14.75,-25.952,0,eq,0.5900895919101924,0.3845874080289498,0.025323000060857657
17.524,1.452,0,eq,0.9218732664395607,0.055541331933759534,0.022585401626679744
58.83,-13.243,1,ex,0.13130089119618973,0.8486512881544048,0.020047820649405437
-58.229,-8.371,2,co,0.4532259147346967,0.0477338586007103,0.499040226664593
63.181,-29.17,1,ex,0.06709462263499402,0.9122730402784978,0.02063233708650827
-5.745,-17.509,0,eq,0.5938414410156586,0.38106733658331127,0.02509122240103002
-19.998,23.616,0,eq,0.6955344488027484,0.0438453924440067,0.26062015875324485
-44.559,-6.326,0,eq,0.9028581897697527,0.05439570517191338,0.04274610505833392
48.782,-10.445,1,ex,0.13621149324390833,0.8434578443362394,0.020330662419852225
30.275,24.371,0,eq,0.6955344488027484,0.0438453924440067,0.26062015875324485
33.926,-20.993,0,eq,0.5900895919101924,0.3845874080289498,0.025323000060857657
17.434,26.495,0,eq,0.6955344488027484,0.0438453924440067,0.26062015875324485
-23.038,11.657,0,eq,0.8839000520468676,0.053253508886973465,0.06284643906615901
-52.764,9.174,2,co,0.41735360916479997,0.03971653976765197,0.542929851067548
19.926,-0.319,0,eq,0.9218732664395607,0.055541331933759534,0.022585401626679744
30.447,12.249,0,eq,0.8839000520468676,0.053253508886973465,0.06284643906615901
41.5,8.89,1,ex,0.43740684139424535,0.5146808915106587,0.047912267095096044
-71.087,-13.901,2,co,0.35502993454271276,0.18211738916636214,0.4628526762909251
-71.172,-27.48,2,co,0.2812020292336996,0.2501440199886218,0.46865395077767874
