lune_lat,lune_lon,class,etype_pred,prob_eq,prob_ex,prob_co
-17.165,-3.001,0,eq,0.9945345832950123,6.502882294447873e-06,0.005458913822693388
-0.744,12.245,0,eq,0.9993964290079377,5.154098875343424e-05,0.000552030003308853
-11.586,-22.318,0,eq,0.9986815137875958,5.206096994421424e-05,0.0012664252424599632
28.695,21.221,0,eq,0.9948612459904007,0.0051293687971922216,9.385212407087015e-06
31.865,-16.492,0,eq,0.9195091754836603,0.08048686021423086,3.964302108875913e-06
-18.933,24.811,0,eq,0.9929436072038493,1.875969755866563e-06,0.00705451682639475
3.889,-0.869,0,eq,0.9995272129724474,0.00022343444903073653,0.0002493525785218919
43.76,12.745,0,eq,0.896313904407466,0.10368489724950065,1.1983430334188116e-06
-28.867,-26.034,0,eq,0.987667704098577,3.917676621937612e-06,0.012328378224801184
66.459,15.246,1,ex,0.35953193105931197,0.640467992672497,7.626819104716267e-08
14.259,-3.951,0,eq,0.9982362396212332,0.0017104753940843055,5.328498468245899e-05
85.825,26.818,1,ex,0.08592229847246559,0.9140776077798576,9.3747676702191e-08
42.077,14.863,0,eq,0.9291845260013984,0.07081392471265055,1.5492859509311096e-06
3.243,28.924,0,eq,0.9996682399547654,5.254375539731011e-05,0.00027921628983736845
8.534,-6.49,0,eq,0.9991833108620867,0.0007020126782345959,0.00011467645967872165
-3.769,-1.526,0,eq,0.9991797235206406,6.001850753456546e-05,0.0007602579718248433
-78.166,-9.794,2,co,0.2966638980232308,7.235027072604194e-08,0.7033360296264984
-51.716,-22.703,0,eq,0.775616185623251,8.047883512654466e-08,0.22438373389791388
21.452,-15.105,0,eq,0.9880609874272029,0.011923238480041494,1.577409275549698e-05
40.772,15.541,0,eq,0.9424305794009947,0.057567567901784446,1.8526972207960072e-06
-14.405,0.206,0,eq,0.9961656963418096,8.814533180910182e-06,0.003825489125009461
21.835,11.423,0,eq,0.997215728296588,0.0027620009323963044,2.2270771015664195e-05
14.75,-25.952,0,eq,0.9935783480021637,0.0063919860906071725,2.966590722918104e-05
17.524,1.452,0,eq,0.9976952951940289,0.002268113827731604,3.659097823954046e-05
58.83,-13.243,1,ex,0.07738769819063443,0.9226121435734813,1.5823588431316403e-07
-58.229,-8.371,2,co,0.5760540974904204,6.171528890502937e-08,0.42394584079429065
63.181,-29.17,1,ex,0.0020526182360218258,0.9979472790355899,1.0272838824445635e-07
-5.745,-17.509,0,eq,0.9992331365913989,0.00010555204085719496,0.0006613113677439488
-19.998,23.616,0,eq,0.9915695690792716,1.624621510119073e-06,0.008428806299218118
-44.559,-6.326,0,eq,0.8050991978845241,8.286807581658879e-08,0.19490071924740018
48.782,-10.445,1,ex,0.4576556248632235,0.54234389226898,4.828677964938964e-07
30.275,24.371,0,eq,0.9944416805849399,0.005550560918869824,7.758496190284785e-06
